NOME DA BARRAGEM DE MINERAÇÃO	Latitute Decimal	Longitude Decimal	UF	MUNICÍPIO	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	DANO POTENCIAL ASSOCIADO
Dique 04	-2.011.940.556	-4.432.415.556	MG	BRUMADINHO	3	100	
Dique 06 - Véu da Noiva Jusante	-2.013.151.667	-4.437.501.111	MG	ITATIAIUÇU	14	2500	
Dique 08 - Pátio CMC	-2.013.359.722	-4.437.956.944	MG	ITATIAIUÇU	12	48252	
Dique 1	-2.130.823.889	-4.466.088.333	MG	ITUTINGA	2	300	
Dique 13 - Pains	-2.012.441.389	-4.440.018.333	MG	MATEUS LEME	12.45	54000	
Dique 14	-2.016.247.222	-4.444.738.889	MG	ITATIAIUÇU	9.93	54000	
Dique 2	-2.130.823.611	-4.466.183.056	MG	ITUTINGA	3	100	
Dique 2 de Concreto	-2.013.941.667	-4.440.063.889	MG	ITATIAIUÇU	3	200	
Dique 3	-2.130.873.333	-4.466.203.889	MG	ITUTINGA	1.5	25	
Dique B11 - Pilha de Estéril Alegria E (Dique do Córrego dos Macacos)	-2.019.398.694	-4.350.838.472	MG	OURO PRETO	14.5	52000	
Dique B2 - Pilha de Estéril João Manoel	-2.017.090.389	-4.349.808.889	MG	MARIANA	10	8000	
Dique B3 - Pilha de Estéril João Manoel	-2.016.991	-4.349.610.583	MG	MARIANA	10	12000	
Dique BIII-6	-2.014.667.222	-4.445.438.611	MG	ITAÚNA	7.5	14457.6	
Dique BIII-7	-2.014.685.556	-4.445.146.389	MG	ITAÚNA	7.5	16557	
Dique BIV-3 - Dique Hércules	-2.015.605.556	-4.444.138.889	MG	ITATIAIUÇU	13	15524	
Dique Caffaro	-20.095.525	-4.416.237.778	MG	MÁRIO CAMPOS	8	17000	
Dique Conquistinha	-201.159	-4.429.810.278	MG	BRUMADINHO	5	30	
Dique Couves (MUSA)	-2.015.588.889	-4.444.708.333	MG	ITATIAIUÇU	8.8	3800	
Dique da Divisa	-2.013.633.333	-4.440.525	MG	ITATIAIUÇU	10	8750	
Dique da Mineira	-2.015.036.111	-4.443.583.333	MG	ITATIAIUÇU	10.2	5000	
Dique da Oficina	-2.012.533.333	-4.441.047.222	MG	MATEUS LEME	12	10000	
Dique da Oficina II	-2.012.625	-444.135	MG	MATEUS LEME	9.4	5600	
Dique de Captação	-20.027.475	-4.342.413.889	MG	CATAS ALTAS	4	13134.76	
Dique de Concreto	-2.013.189.722	-4.437.663.889	MG	ITATIAIUÇU	4	1600	
Dique de Contenção de Finos	-2.011.611.111	-4.387.372.222	MG	NOVA LIMA	14.87	2376	
Dique de Contenção Pilha de Estéril MMR	-2.119.105.556	-4.399.125	MG	PRADOS	0	0	
DIQUE DE SAÍDA DE CAVA	-2.011.202.778	-4.422.019.444	MG	BRUMADINHO	8	11250	
Dique de Sedimentos da PDE Cava Sul	-2.043.650.833	-4.387.179.167	MG	CONGONHAS	9.9	10000	
Dique dos Búfalos	-1.967.342.778	-4.697.199.889	MG	ARAXÁ	9.5	22000	
Dique Flotação	-2.014.591.667	-4.440.547.222	MG	ITATIAIUÇU	6	57000	
Dique Intermediário	-2.015.983.333	-4.444.994.444	MG	ITATIAIUÇU	12	12000	
Dique IV	-2.007.110.583	-4.402.155.389	MG	BRUMADINHO	2	100	
Dique Leste I	-2.012.138.889	-4.437.122.222	MG	MATEUS LEME	9.2	15100	
Dique Leste II	-2.012.022.222	-4.437.177.778	MG	MATEUS LEME	10.6	7100	
Dique Leste III	-2.011.608.333	-4.437.125	MG	MATEUS LEME	3.8	1350	
Dique Longitudinal	-20.273.525	-4.390.012.694	MG	ITABIRITO	4.3	88750	
Dique Mazano	-2.014.038.889	-4.442.247.222	MG	ITATIAIUÇU	10	10120	
Dique Quéias - Captação de Água	-2.012.669.444	-4.431.613.889	MG	BRUMADINHO	5	1200	
Fazendinha	-199.717.275	-4.360.806.222	MG	BARÃO DE COCAIS	8	3830.74	
Gambá	-2.043.133.333	-4.388.286.111	MG	CONGONHAS	12.64	5000	
GERAIS	-1.958.244.444	-4.441.141.667	MG	INHAÚMA	4	90	
Ingleses	-1.996.536.111	-4.358.727.778	MG	BARÃO DE COCAIS	5	3524.96	
Ipoema	-1.961.222.722	-4.325.581.028	MG	ITABIRA	7.5	47900	
Mata Porcos	-2.038.605.556	-438.575	MG	ITABIRITO	7.15	7000	
MIGUEL BURNIER - DIQUE B1	-2.045.644.444	-4.374.972.222	MG	OURO PRETO	3	10650	
MIGUEL BURNIER - DIQUE B2	-2.045.644.444	-4.374.997.222	MG	OURO PRETO	2	17950	
MIGUEL BURNIER - DIQUE B3	-2.045.822.222	-4.373.363.889	MG	OURO PRETO	3	2850	
Modulo 3	-17.965	-4.684.416.667	MG	VAZANTE	6	96000	
Patrimônio	-1.995.944.722	-4.358.722.528	MG	BARÃO DE COCAIS	8	7185.66	
PDE Engano	-2.033.805.556	-4.342.461.111	MG	MARIANA	7	12912.54	
PDE Lagoa Seca	-2.034.897.222	-4.341.308.333	MG	MARIANA	11.4	10626.16	
PDE Temporária II	-2.021.511.778	-4.344.848.639	MG	MARIANA	12	7000	
Piteiras	-1.969.236.111	-4.311.286.111	MG	ITABIRA	2	2000	
Pocilga	-2.018.508.333	-4.360.575	MG	SANTA BÁRBARA	9	38558.57	
Prata	-2.041.172.222	-4.386.527.778	MG	OURO PRETO	10.75	20000	
SANGUINETE	-1.800.905.556	-4.376.891.667	MG	DIAMANTINA	3	15000	
SANTA TERESA	-2.146.719.444	-4.288.597.222	MG	DESCOBERTO	11.33	200000	
SANTO ANTÔNIO	-1.954.545.833	-4.303.093.611	MG	ANTÔNIO DIAS	13	150000	
SUMP DE CONTENÇÃO DE SEDIMENTOS	-2.011.091.667	-4.422.408.333	MG	BRUMADINHO	12	12000	
TQ-1	-1.989.158.333	-4.328.552.778	MG	SÃO GONÇALO DO RIO ABAIXO	9	5789	
TQ-2	-1.989.211.111	-4.328.472.222	MG	SÃO GONÇALO DO RIO ABAIXO	8	6897	
"Bacia ""S"""	-1.926.097.222	-5.752.877.778	MS	CORUMBÁ	4	5233.2	
Bacia 02-03 Alto da Serra Mn	-1.919.080.944	-576.166.975	MS	CORUMBÁ	10.07	9479	
Bacia 05 Alto da Serra	-1.919.184.028	-5.761.378.139	MS	CORUMBÁ	11.69	5662	
Bacia 07 Alto da Serra	-1.919.203.639	-5.761.459.056	MS	CORUMBÁ	13.05	5862	
Bacia B-2A	-1.926.155.556	-5.752.855.556	MS	CORUMBÁ	9.6	10275	
Bacia B-2B	-1.926.155.556	-5.752.855.556	MS	CORUMBÁ	9.6	7557	
Bacia B-3	-1.926.241.667	-5.752.841.667	MS	CORUMBÁ	4.31	5397.71	
Bacia B-4	-1.926.208.333	-5.752.791.667	MS	CORUMBÁ	5	4385	
Bacia B-5A	-1.926.233.333	-5.752.777.778	MS	CORUMBÁ	5	3766	
Bacia B-5B	-192.625	-5.752.761.111	MS	CORUMBÁ	5	2319.8	
Bacia B-8	-1.926.466.667	-5.752.705.556	MS	CORUMBÁ	5	7259.8	
Bacia B-9	-1.926.527.778	-5.752.661.111	MS	CORUMBÁ	5.25	8032.89	
Baia 4	-1.920.035.083	-5.763.943.889	MS	CORUMBÁ	10	76000	
ADÃO RODUÍ	-1.623.488.333	-5.665.240.278	MT	POCONÉ	14	300000	
Alain II	-16.255	-5.661.527.778	MT	POCONÉ	3	350000	
BACIA DE REJEITO MINERGOLD	-1.569.652.778	-5.633.391.667	MT	NOSSA SENHORA DO LIVRAMENTO	5	146000	
BACIA DE REJEITOS BOM JARDIM	-1.625.061.111	-5.659.913.889	MT	POCONÉ	8	450000	
BACIA DE REJEITOS SÃO BENTO	-1.625.797.222	-5.659.436.111	MT	POCONÉ	6	124650	
BARRAGEM  BLOCO NORTE	-1.068.797.222	-5.482.791.667	MT	NOVA SANTA HELENA	5	7500	
BARRAGEM BLOCO  SUL	-1.068.677.778	-5.482.930.556	MT	NOVA SANTA HELENA	2	100	
Barragem de Rejeito 01	-1.577.475	-5.628.572.222	MT	NOSSA SENHORA DO LIVRAMENTO	7.5	54608	
Barragem Salinas 1	-1.618.325	-5.641.858.333	MT	POCONÉ	10	100000	
Barragem T04	-1.555.725.556	-5.580.345.556	MT	CUIABÁ	11	1815000	
Barragem T05	-1.629.857.222	-567.125	MT	POCONÉ	13.49	483417.27	
Barragem T06	-1.630.016.389	-5.673.295	MT	POCONÉ	6	153602.7	
BOM PASTOR	-1.609.736.111	-5.657.344.444	MT	POCONÉ	14	660000	
CAMPOS	-1.618.151.944	-5.659.919.167	MT	POCONÉ	12	1248000	
CANGAS	-1.611.085.556	-5.657.396.667	MT	POCONÉ	11.5	400000	
CF - Leste	-1.621.583.333	-5.660.430.556	MT	POCONÉ	5	192200	
CF - Oeste	-1.621.441.667	-5.660.594.444	MT	POCONÉ	5	92000	
CHICO	-1.629.485.278	-5.665.153.333	MT	POCONÉ	8	484000	
COQUEIRAL	-1.605.313.056	-5.654.992.222	MT	POCONÉ	14	400000	
FRED	-1.606.174.167	-56.560.425	MT	POCONÉ	10	150000	
GAÚCHO	-1.624.755.556	-5.659.438.889	MT	POCONÉ	10	150000	
JOAO PAULO	-1.624.876.667	-5.660.541.667	MT	POCONÉ	14.75	450000	
LU	-1.624.136.389	-5.660.486.667	MT	POCONÉ	2	590000	
MARANATA	-1.603.791.667	-5.653.763.889	MT	POCONÉ	14.5	483000	
MINERAÇÃO VALE DOURADO	-1.485.058.333	-5.657.372.222	MT	ROSÁRIO OESTE	1	2	
Moça Bonita	-1.619.051.778	-5.641.310.222	MT	POCONÉ	8	238605.87	
OREGON	-1.627.436.111	-5.663.725	MT	POCONÉ	6	810000	
OURINHOS I	-1.611.994.444	-5.658.772.222	MT	POCONÉ	14.9	1300000	
Rejeito	-1.131.339.694	-5.908.626.472	MT	JUÍNA	4	424000	
RODUÍ II	-1.623.906.111	-5.665.260.278	MT	POCONÉ	3	140000	
VALE DOURADO	-1.485.058.333	-5.657.372.222	MT	ROSÁRIO OESTE	1	2	
1 Mina	-6.399.388.889	-5.034.013.889	PA	CANAÃ DOS CARAJÁS	8.5	188680.72	
1 Usina	-6.454.916.667	-5.022.875	PA	CANAÃ DOS CARAJÁS	7	34000	
3 Kalunga	-6.120.055.556	-5.030.241.667	PA	PARAUAPEBAS	3.5	1965306	
3 Mina	-6.394.416.667	-5.031.980.556	PA	CANAÃ DOS CARAJÁS	14.61	165320	
Bacia C Usina	-6.439	-5.023.580.556	PA	CANAÃ DOS CARAJÁS	7.3	30114	
Barragem A1	-1.471.916.667	-5.638.575	PA	ORIXIMINÁ	11	422000	
Barragem Água Fria	-1.465.805.556	-5.639.066.667	PA	ORIXIMINÁ	8	103000	
BARRAGEM SÃO GERALDO	-6.110.194.444	-5.227.527.778	PA	SÃO FÉLIX DO XINGU	3	5250	
BARRAGEM SAO GERALDO 02	-6.075.777.778	-5.225.519.444	PA	SÃO FÉLIX DO XINGU	3	10500	
Barramento 10	-6.443.555.556	-5.031.811.111	PA	CANAÃ DOS CARAJÁS	2.9	10670	
Barramento 7	-6.440.555.556	-503.255	PA	CANAÃ DOS CARAJÁS	2.4	2467	
Barramento 8	-6.440.444.444	-50.32	PA	CANAÃ DOS CARAJÁS	2.4	4511	
CSO1	-6.408.027.778	-5.004.416.667	PA	CANAÃ DOS CARAJÁS	6	1	
Dique 05	-6.555.956.944	-5.117.348.278	PA	SÃO FÉLIX DO XINGU	10.85	405554.9	
Dique 06	-6.580.361.111	-5.117.416.667	PA	SÃO FÉLIX DO XINGU	10.5	78000	
Dique do Puma 01	-648.525	-5.107.752.778	PA	PARAUAPEBAS	13.6	295000	
Dique Provisorio 01	-6.561.861.111	-5.117.113.889	PA	SÃO FÉLIX DO XINGU	6.2	28500	
Dique Provisorio 02	-6.560.388.889	-5.116.672.222	PA	SÃO FÉLIX DO XINGU	4.8	21300	
E48 Bacia I	-6.419.916.667	-5.031.330.556	PA	CANAÃ DOS CARAJÁS	5.03	6333	
Igarapé	-6.59	-51.09	PA	OURILÂNDIA DO NORTE	8.1	1862231	
Lagoa de Disposição n°04 - LD4	-2.486.694.444	-5.617.813.889	PA	JURUTI	12	750000	
LAGOA FACEL 3	0.911115833	-5.243.246.278	PA	ALMEIRIM	11	600000	
LAGOA FACEL 4	0.914569722	-5.242.868.583	PA	ALMEIRIM	9	412800	
Lagoa Progeo	-6.441.861.111	-503.265	PA	CANAÃ DOS CARAJÁS	2.5	21520	
Maney Mineração	-6.788.890.556	-5.660.811.083	PA	ITAITUBA	5	400000	
PN - 1	-6.405.722.222	-5.005.711.111	PA	CANAÃ DOS CARAJÁS	5	100000	
PN - 3	-6.402.594.722	-5.007.540.889	PA	CANAÃ DOS CARAJÁS	6.5	1120	
PN - 4	-6.411.516.944	-5.003.325.278	PA	CANAÃ DOS CARAJÁS	5	7000	
PN - 6	-6.405.993.889	-5.008.420.083	PA	CANAÃ DOS CARAJÁS	5.5	50000	
PN -5	-6.421.384.722	-5.003.609.083	PA	CANAÃ DOS CARAJÁS	4	6000	
